# Nachtrag zu orte.tsv - deutsche Gemeinden aus DE.txt (ADM4),
# die in cities1000 fehlen.  Erzeugt mit 'geocode.py --gemeinden'.
# name	lat	lon	cc	land	pop	region
Rodewald	52.66383	9.48295	DE	Deutschland	2582	
Rommerskirchen	51.03050	6.70110	DE	Deutschland	14079	
Rosenbach/Vogtl.	50.53089	12.03501	DE	Deutschland	3927	
Rosendahl	52.01670	7.21667	DE	Deutschland	11249	
Rosengarten	53.41043	9.88807	DE	Deutschland	14033	
Rosenthal-Bielatal	50.86670	14.05000	DE	Deutschland	1521	
Rottach-Egern	47.65180	11.82538	DE	Deutschland	5441	
Roßhaupten	47.65000	10.71670	DE	Deutschland	2272	
Ruhner Berge	53.32809	11.92445	DE	Deutschland	1723	
Römerstein	48.49662	9.51008	DE	Deutschland	4094	
Römhild	50.40700	10.53690	DE	Deutschland	6383	
Rüdersdorf bei Berlin	52.47070	13.77360	DE	Deutschland	15889	
Saalburg-Ebersdorf	50.49170	11.70000	DE	Deutschland	3271	
Sachsenheim	49.00410	9.01159	DE	Deutschland	18638	
Salzatal	51.56833	11.81499	DE	Deutschland	11267	
Sanitz	54.07750	12.36610	DE	Deutschland	6533	
Saterland	53.10330	7.68250	DE	Deutschland	14378	
Satow	53.98911	11.89195	DE	Deutschland	6336	
Sauerlach	47.95860	11.56740	DE	Deutschland	8063	
Schafstedt	54.08330	9.30000	DE	Deutschland	1290	
Schauenburg	51.28259	9.32878	DE	Deutschland	10352	
Schefflenz	49.40447	9.29041	DE	Deutschland	3933	
Schemmerhofen	48.17353	9.79156	DE	Deutschland	8807	
Schenkendöbern	51.95805	14.54538	DE	Deutschland	3401	
Schernfeld	48.90000	11.10000	DE	Deutschland	3291	
Schkopau	51.40000	12.04629	DE	Deutschland	10815	
Schlaubetal	52.12890	14.51110	DE	Deutschland	1800	
Schleusegrund	50.52330	10.86670	DE	Deutschland	2528	
Schloß Holte-Stukenbrock	51.90000	8.61667	DE	Deutschland	26297	
Schollene	52.68330	12.21670	DE	Deutschland	1058	
Schorfheide	52.89919	13.59465	DE	Deutschland	10632	
Schwalmtal	50.68330	9.30000	DE	Deutschland	2750	
Schwarzach b.Nabburg	49.41064	12.22864	DE	Deutschland	1356	
Schwarzenbach a.Wald	50.28330	11.61670	DE	Deutschland	4231	
Schwielochsee	51.99720	14.11191	DE	Deutschland	1481	
Schönau a.d.Brend	50.38330	10.10000	DE	Deutschland	1196	
Schönberg	48.33330	12.43330	DE	Deutschland	1131	
Schönberg	48.83330	13.33330	DE	Deutschland	3925	
Schönberg	53.85000	10.93330	DE	Deutschland	4321	
Schönberg (Holstein)	54.39050	10.37750	DE	Deutschland	6206	
Schönewalde	51.80046	13.23859	DE	Deutschland	2899	
Schöntal	49.34496	9.53390	DE	Deutschland	5557	
Schönwald	51.98530	13.72300	DE	Deutschland	1226	
Schönwalde-Glien	52.61670	13.13330	DE	Deutschland	10523	
Schönwölkau	51.51670	12.48330	DE	Deutschland	2676	
Seegebiet Mansfelder Land	51.47221	11.67474	DE	Deutschland	8474	
Seeland	51.81670	11.35000	DE	Deutschland	7553	
Seewald	48.57993	8.46170	DE	Deutschland	2111	
Selfkant	51.01667	5.91667	DE	Deutschland	10786	
Selters (Taunus)	50.35000	8.23333	DE	Deutschland	8158	
Siegbach	50.74952	8.41807	DE	Deutschland	2488	
Simmerath	50.60683	6.30047	DE	Deutschland	16612	
Simonswald	48.10491	8.06328	DE	Deutschland	2936	
Sinntal	50.30003	9.64777	DE	Deutschland	8680	
Sonnenbühl	48.38333	9.18333	DE	Deutschland	7022	
Sonnenstein	51.55744	10.40989	DE	Deutschland	4215	
Spahnharrenstätte	52.87077	7.60479	DE	Deutschland	1528	
Spreetal	51.51670	14.36670	DE	Deutschland	1702	
Spremberg	51.56971	14.37355	DE	Deutschland	21140	
Stadt An der Schmücke	51.29742	11.21158	DE	Deutschland	5881	
Stadt Buttstädt	51.13328	11.37671	DE	Deutschland	6470	
Stadt Dingelstädt	51.31977	10.30209	DE	Deutschland	12204	
Stadt Heldburg	50.27205	10.69499	DE	Deutschland	3261	
Stadt Kaltennordheim	50.61985	10.14635	DE	Deutschland	5562	
Stadt Schwarzatal	50.58619	11.11198	DE	Deutschland	3319	
Stammham	48.85000	11.46670	DE	Deutschland	4142	
Starzach	48.43168	8.81112	DE	Deutschland	4373	
Staufenberg	51.34396	9.64817	DE	Deutschland	7506	
Stavenhagen	53.70000	12.90000	DE	Deutschland	4855	
Stechlin	53.10560	13.04170	DE	Deutschland	1123	
Steffenberg	50.83335	8.42102	DE	Deutschland	3830	
Steinbergkirche	54.77190	9.75450	DE	Deutschland	2978	
Steinburg	53.70479	10.40069	DE	Deutschland	2758	
Steinhausen an der Rottum	48.01670	9.96667	DE	Deutschland	2182	
Stemwede	52.41041	8.41642	DE	Deutschland	13460	
Straubenhardt	48.84385	8.52192	DE	Deutschland	11367	
Straufhain	50.35830	10.70420	DE	Deutschland	2677	
Striegistal	50.99170	13.18610	DE	Deutschland	4570	
Stutensee	49.09016	8.47529	DE	Deutschland	25259	
Sulzbach-Laufen	48.96488	9.84564	DE	Deutschland	2560	
Sulzdorf a.d.Lederhecke	50.23990	10.56200	DE	Deutschland	1142	
Sundhagen	54.18838	13.20450	DE	Deutschland	5096	
Swisttal	50.68846	6.92156	DE	Deutschland	18580	
Sydower Fließ	52.73059	13.71744	DE	Deutschland	1013	
Söhrewald	51.22143	9.57822	DE	Deutschland	4521	
Südbrookmerland	53.47550	7.35163	DE	Deutschland	18368	
Südeichsfeld	51.16632	10.32286	DE	Deutschland	6419	
Süderholz	54.07620	13.13330	DE	Deutschland	3911	
Südharz	51.49707	11.08061	DE	Deutschland	8829	
Südliches Anhalt	51.70476	12.03827	DE	Deutschland	12857	
Sülzetal	52.01670	11.55000	DE	Deutschland	8577	
Taufkirchen (Vils)	48.33740	12.19740	DE	Deutschland	10652	
